fpts,player,team,bye,pos,adp
124.3,Jason Myers,SEA,5,K,134.8
102.9,Baltimore Ravens,DST,13,DST,136.5
124.1,Harrison Butker,KC,10,K,137.3
276.3,Jared Goff,DET,9,QB,137.3
144.2,Adam Thielen,CAR,7,WR,137.3
120.9,Younghoe Koo,ATL,11,K,138.5
137.8,Skyy Moore,KC,10,WR,139
107.2,Miami Dolphins,DST,10,DST,140
140.2,Tyler Higbee,LAR,10,TE,140.3
279.6,Russell Wilson,DEN,9,QB,140.5
143.5,Allen Lazard,NYJ,7,WR,140.8
109.4,Pittsburgh Steelers,DST,6,DST,141.8
115.1,Elijah Mitchell,SF,9,RB,144.8
117.8,Jameson Williams,DET,9,WR,144.8
129.8,Chigoziem Okonkwo,TEN,7,TE,148
109,Ezekiel Elliott,NE,11,RB,148
127.8,Elijah Moore,CLE,5,WR,148.5
159.9,Jakobi Meyers,LV,13,WR,149.3
113.4,Devin Singletary,HOU,7,RB,153.8
132,Jeff Wilson Jr.,MIA,10,RB,154.8
117.5,Rashod Bateman,BAL,13,WR,155.3
121.9,Raheem Mostert,MIA,10,RB,155.5
153.2,Tyler Boyd,CIN,7,WR,156
124.4,Greg Dulcich,DEN,9,TE,157.3
108,Kansas City Chiefs,DST,10,DST,157.8
125.9,Gerald Everett,LAC,5,TE,158.3
106.7,New Orleans Saints,DST,11,DST,160.5
112.2,Tyler Allgeier,ATL,11,RB,161.3
252.4,Derek Carr,NO,11,QB,161.5
119,Graham Gano,NYG,13,K,161.8
107.8,Damien Harris,BUF,13,RB,163.5
121.3,Jake Elliott,PHI,10,K,165.3
112.8,Juwan Johnson,NO,11,TE,167.8
80,Jalin Hyatt,NYG,13,WR,170.8
251.1,Matthew Stafford,LAR,10,QB,171.3
144,Darnell Mooney,CHI,13,WR,172
109.1,Sam LaPorta,DET,9,TE,173
250.6,Kenny Pickett,PIT,6,QB,175
238.9,Bryce Young,CAR,7,QB,175.5
154.9,Nico Collins,HOU,7,WR,176.5
150.3,Zay Jones,JAC,9,WR,176.5
239.3,Brock Purdy,SF,9,QB,177.5
